"Channel","Station","Year","channel.trt","station.trt","shan"
"Channel 19","Station 10 + 98",2012-11-01,"Channel 19: Upland treatment","No treatment",1.58722861205087
"Channel 19","Station 10 + 98",2013-11-01,"Channel 19: Upland treatment","No treatment",1.7641275509523
"Channel 19","Station 10 + 98",2014-11-01,"Channel 19: Upland treatment","No treatment",1.07944130581047
"Channel 19","Station 10 + 98",2015-11-01,"Channel 19: Upland treatment","No treatment",0.936142494109285
"Channel 19","Station 10 + 98",2018-11-01,"Channel 19: Upland treatment","No treatment",0.857449295931346
"Channel 19","Station 10 + 98",2021-11-01,"Channel 19: Upland treatment","No treatment",1.83521342994655
"Channel 21","Station 01 + 07.5 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",1.20067601099674
"Channel 21","Station 01 + 07.5 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",0.76388299203104
"Channel 21","Station 01 + 07.5 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",1.07134307662238
"Channel 21","Station 01 + 07.5 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",1.46456037962759
"Channel 21","Station 01 + 07.5 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",0.953171001760057
"Channel 21","Station 01 + 07.5 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",0.633552590490464
"Channel 21","Station 01 + 49 ORD",2012-11-01,"Channel 21: In-channel treatment","One station dam",1.24021696554121
"Channel 21","Station 01 + 49 ORD",2013-11-01,"Channel 21: In-channel treatment","One station dam",1.61555082016875
"Channel 21","Station 01 + 49 ORD",2014-11-01,"Channel 21: In-channel treatment","One station dam",0.972948577429558
"Channel 21","Station 01 + 49 ORD",2015-11-01,"Channel 21: In-channel treatment","One station dam",0.61509532980796
"Channel 21","Station 01 + 49 ORD",2018-11-01,"Channel 21: In-channel treatment","One station dam",0.814736144244499
"Channel 21","Station 01 + 49 ORD",2021-11-01,"Channel 21: In-channel treatment","One station dam",0.065449516177756
"Channel 21","Station 02 + 15 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",1.43954343672771
"Channel 21","Station 02 + 15 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",1.4909804269615
"Channel 21","Station 02 + 15 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",1.57523547692675
"Channel 21","Station 02 + 15 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",0.74513321300955
"Channel 21","Station 02 + 15 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",1.14370838942625
"Channel 21","Station 03 + 80 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",0.386654554503635
"Channel 21","Station 03 + 80 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",0.919271431098868
"Channel 21","Station 03 + 80 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",0.658859104659058
"Channel 21","Station 03 + 80 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",0.0740225961475812
"Channel 21","Station 03 + 80 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",0.885118719207178
"Channel 21","Station 03 + 80 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",1.21004283655708
"Channel 21","Station 04 + 90 ORD",2012-11-01,"Channel 21: In-channel treatment","One station dam",1.09014064434507
"Channel 21","Station 04 + 90 ORD",2013-11-01,"Channel 21: In-channel treatment","One station dam",1.10927669178165
"Channel 21","Station 04 + 90 ORD",2014-11-01,"Channel 21: In-channel treatment","One station dam",1.22067040266239
"Channel 21","Station 04 + 90 ORD",2015-11-01,"Channel 21: In-channel treatment","One station dam",1.13390192449855
"Channel 21","Station 04 + 90 ORD",2018-11-01,"Channel 21: In-channel treatment","One station dam",0.756762110624589
"Channel 21","Station 04 + 90 ORD",2021-11-01,"Channel 21: In-channel treatment","One station dam",0.789115548837965
"Channel 21","Station 06 + 36 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",1.27984313502328
"Channel 21","Station 06 + 36 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",1.26811785948974
"Channel 21","Station 06 + 36 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",1.10180239726504
"Channel 21","Station 06 + 36 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",1.24137755235465
"Channel 21","Station 06 + 36 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",1.30207046405369
"Channel 21","Station 06 + 36 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",0.908374332821751
"Channel 21","Station 07 + 49.5 ORD",2012-11-01,"Channel 21: In-channel treatment","One station dam",0.365073259125504
"Channel 21","Station 07 + 49.5 ORD",2013-11-01,"Channel 21: In-channel treatment","One station dam",0.804870993565915
"Channel 21","Station 07 + 49.5 ORD",2014-11-01,"Channel 21: In-channel treatment","One station dam",0.875289093369531
"Channel 21","Station 07 + 49.5 ORD",2015-11-01,"Channel 21: In-channel treatment","One station dam",0.547645319987761
"Channel 21","Station 07 + 49.5 ORD",2018-11-01,"Channel 21: In-channel treatment","One station dam",0.92511915775115
"Channel 21","Station 07 + 49.5 ORD",2021-11-01,"Channel 21: In-channel treatment","One station dam",1.00546249694842
"Channel 21","Station 07 + 66 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",0.404509941773612
"Channel 21","Station 07 + 66 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",0.376770161256437
"Channel 21","Station 07 + 66 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",1.45858475280701
"Channel 21","Station 07 + 66 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",1.25409946524978
"Channel 21","Station 07 + 66 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",0.539458926673294
"Channel 21","Station 08 + 62 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",1.16317204596377
"Channel 21","Station 08 + 62 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",1.1461185601312
"Channel 21","Station 08 + 62 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",1.33253460588321
"Channel 21","Station 08 + 62 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",1.46428490572817
"Channel 21","Station 08 + 62 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",1.66231358224374
"Channel 21","Station 08 + 62 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",1.10820471026077
"Channel 21","Station 09 + 99 ORD",2012-11-01,"Channel 21: In-channel treatment","One station dam",0.943626573958522
"Channel 21","Station 09 + 99 ORD",2013-11-01,"Channel 21: In-channel treatment","One station dam",1.02161766995703
"Channel 21","Station 09 + 99 ORD",2014-11-01,"Channel 21: In-channel treatment","One station dam",1.63143725613214
"Channel 21","Station 09 + 99 ORD",2015-11-01,"Channel 21: In-channel treatment","One station dam",1.4487345723773
"Channel 21","Station 09 + 99 ORD",2018-11-01,"Channel 21: In-channel treatment","One station dam",1.65466659987357
"Channel 21","Station 09 + 99 ORD",2021-11-01,"Channel 21: In-channel treatment","One station dam",1.7031916739424
"Channel 21","Station 10 + 13 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",0.181820282304918
"Channel 21","Station 10 + 13 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",0.204158745302152
"Channel 21","Station 10 + 13 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",0.660074654807292
"Channel 21","Station 10 + 13 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",0.611421010124414
"Channel 21","Station 10 + 13 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",1.12553587352678
"Channel 21","Station 10 + 13 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",0.841170101366177
"Channel 21","Station 11 + 12 ORD",2012-11-01,"Channel 21: In-channel treatment","One station dam",1.38335712763323
"Channel 21","Station 11 + 12 ORD",2013-11-01,"Channel 21: In-channel treatment","One station dam",1.78195245311872
"Channel 21","Station 11 + 12 ORD",2014-11-01,"Channel 21: In-channel treatment","One station dam",1.46132182027925
"Channel 21","Station 11 + 12 ORD",2015-11-01,"Channel 21: In-channel treatment","One station dam",1.28313669310341
"Channel 21","Station 11 + 12 ORD",2018-11-01,"Channel 21: In-channel treatment","One station dam",1.58199477873439
"Channel 21","Station 11 + 12 ORD",2021-11-01,"Channel 21: In-channel treatment","One station dam",1.42844425120269
"Channel 21","Station 11 + 24 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",1.59825223742886
"Channel 21","Station 11 + 24 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",1.34479105299582
"Channel 21","Station 11 + 24 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",0.88276207064869
"Channel 21","Station 11 + 24 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",0.898995894728719
"Channel 21","Station 11 + 24 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",1.24536157145729
"Channel 21","Station 11 + 24 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",1.75724530546323
"Channel 21","Station 11 + 63 ORD",2012-11-01,"Channel 21: In-channel treatment","One station dam",1.96554359259447
"Channel 21","Station 11 + 63 ORD",2013-11-01,"Channel 21: In-channel treatment","One station dam",2.02029723451598
"Channel 21","Station 11 + 63 ORD",2014-11-01,"Channel 21: In-channel treatment","One station dam",1.92229337728948
"Channel 21","Station 11 + 63 ORD",2015-11-01,"Channel 21: In-channel treatment","One station dam",1.75927514737508
"Channel 21","Station 11 + 63 ORD",2018-11-01,"Channel 21: In-channel treatment","One station dam",2.13141471363832
"Channel 21","Station 11 + 63 ORD",2021-11-01,"Channel 21: In-channel treatment","One station dam",0.759284720030114
"Channel 21","Station 11 + 73 BAF",2012-11-01,"Channel 21: In-channel treatment","Baffle",1.34367018053545
"Channel 21","Station 11 + 73 BAF",2013-11-01,"Channel 21: In-channel treatment","Baffle",1.49176132257002
"Channel 21","Station 11 + 73 BAF",2014-11-01,"Channel 21: In-channel treatment","Baffle",1.64778579488428
"Channel 21","Station 11 + 73 BAF",2015-11-01,"Channel 21: In-channel treatment","Baffle",1.64837696506509
"Channel 21","Station 11 + 73 BAF",2018-11-01,"Channel 21: In-channel treatment","Baffle",0.862888073700885
"Channel 21","Station 11 + 73 BAF",2021-11-01,"Channel 21: In-channel treatment","Baffle",1.64391574678637
