"Channel","Station","Year","station.trt","channel.trt","Functional","Cover"
"Channel 13","Station 1 + 71 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.125
"Channel 13","Station 1 + 71 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.125
"Channel 13","Station 1 + 71 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",1.875
"Channel 13","Station 1 + 71 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",27.75
"Channel 13","Station 1 + 71 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Shrub",47.5
"Channel 13","Station 1 + 71 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.375
"Channel 13","Station 1 + 71 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",5.125
"Channel 13","Station 1 + 71 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.625
"Channel 13","Station 1 + 71 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",3.875
"Channel 13","Station 1 + 71 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Shrub",58.75
"Channel 13","Station 1 + 77 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.0833333333333333
"Channel 13","Station 1 + 77 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.0833333333333333
"Channel 13","Station 1 + 77 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Perennial grass",0.666666666666667
"Channel 13","Station 1 + 77 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Shrub",43
"Channel 13","Station 1 + 77 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",1.08333333333333
"Channel 13","Station 1 + 77 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.333333333333333
"Channel 13","Station 1 + 77 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",3.66666666666667
"Channel 13","Station 1 + 77 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Shrub",41.3333333333333
"Channel 13","Station 1 + 77 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",4.375
"Channel 13","Station 1 + 77 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Shrub",63.125
"Channel 13","Station 1 + 77 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.25
"Channel 13","Station 1 + 77 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",7.5
"Channel 13","Station 1 + 77 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Shrub",63.125
"Channel 13","Station 1 + 77 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",1.25
"Channel 13","Station 1 + 77 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.125
"Channel 13","Station 1 + 77 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.875
"Channel 13","Station 1 + 77 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",11.5
"Channel 13","Station 1 + 77 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Shrub",56.25
"Channel 13","Station 1 + 77 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.15
"Channel 13","Station 1 + 77 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",2
"Channel 13","Station 1 + 77 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.15
"Channel 13","Station 1 + 77 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",6.8
"Channel 13","Station 1 + 77 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Shrub",15.25
"Channel 13","Station 1 + 77 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Tree",3.25
"Channel 13","Station 1 + 99 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.166666666666667
"Channel 13","Station 1 + 99 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.166666666666667
"Channel 13","Station 1 + 99 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.0833333333333333
"Channel 13","Station 1 + 99 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Perennial grass",3
"Channel 13","Station 1 + 99 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Shrub",22.9166666666667
"Channel 13","Station 1 + 99 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Tree",0.416666666666667
"Channel 13","Station 1 + 99 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.583333333333333
"Channel 13","Station 1 + 99 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.416666666666667
"Channel 13","Station 1 + 99 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",11.875
"Channel 13","Station 1 + 99 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Shrub",25
"Channel 13","Station 1 + 99 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Tree",5
"Channel 13","Station 1 + 99 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.583333333333333
"Channel 13","Station 1 + 99 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",3
"Channel 13","Station 1 + 99 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Shrub",46.6666666666667
"Channel 13","Station 1 + 99 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",3.75
"Channel 13","Station 1 + 99 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.75
"Channel 13","Station 1 + 99 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",6.8125
"Channel 13","Station 1 + 99 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Shrub",28.75
"Channel 13","Station 1 + 99 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.125
"Channel 13","Station 1 + 99 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",10.5625
"Channel 13","Station 1 + 99 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Shrub",35
"Channel 13","Station 1 + 99 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Tree",3.75
"Channel 13","Station 1 + 99 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.5
"Channel 13","Station 1 + 99 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.75
"Channel 13","Station 1 + 99 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",22.0625
"Channel 13","Station 1 + 99 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Shrub",35.625
"Channel 13","Station 1 + 99 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",4.375
"Channel 13","Station 1 + 99 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.625
"Channel 13","Station 1 + 99 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",25.75
"Channel 13","Station 1 + 99 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Shrub",10
"Channel 13","Station 1 + 99 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Tree",0.125
"Channel 13","Station 2 + 16 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.0833333333333333
"Channel 13","Station 2 + 16 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Perennial grass",1
"Channel 13","Station 2 + 16 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Shrub",0.0833333333333333
"Channel 13","Station 2 + 16 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Tree",53.8333333333333
"Channel 13","Station 2 + 16 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.0833333333333333
"Channel 13","Station 2 + 16 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.5
"Channel 13","Station 2 + 16 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",5.08333333333333
"Channel 13","Station 2 + 16 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Shrub",10
"Channel 13","Station 2 + 16 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Tree",65.8333333333333
"Channel 13","Station 2 + 16 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.916666666666667
"Channel 13","Station 2 + 16 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.5
"Channel 13","Station 2 + 16 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",3.16666666666667
"Channel 13","Station 2 + 16 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Shrub",18
"Channel 13","Station 2 + 16 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Tree",12.9166666666667
"Channel 13","Station 2 + 16 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.625
"Channel 13","Station 2 + 16 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",5.125
"Channel 13","Station 2 + 16 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Shrub",5.125
"Channel 13","Station 2 + 16 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Tree",79.375
"Channel 13","Station 2 + 16 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",8.625
"Channel 13","Station 2 + 16 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Shrub",16.25
"Channel 13","Station 2 + 16 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Tree",46.25
"Channel 13","Station 2 + 16 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.125
"Channel 13","Station 2 + 16 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",6.25
"Channel 13","Station 2 + 16 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Shrub",28.75
"Channel 13","Station 2 + 16 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Tree",37.625
"Channel 13","Station 2 + 16 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",4.5
"Channel 13","Station 2 + 16 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",1.25
"Channel 13","Station 2 + 16 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",1.875
"Channel 13","Station 2 + 16 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",0.75
"Channel 13","Station 2 + 16 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Shrub",32.625
"Channel 13","Station 2 + 16 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Tree",73.125
"Channel 13","Station 2 + 57 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.0833333333333333
"Channel 13","Station 2 + 57 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.333333333333333
"Channel 13","Station 2 + 57 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Perennial grass",3.91666666666667
"Channel 13","Station 2 + 57 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Shrub",3.08333333333333
"Channel 13","Station 2 + 57 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.166666666666667
"Channel 13","Station 2 + 57 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.25
"Channel 13","Station 2 + 57 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",13.5833333333333
"Channel 13","Station 2 + 57 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Shrub",8.08333333333333
"Channel 13","Station 2 + 57 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.5
"Channel 13","Station 2 + 57 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",2.5
"Channel 13","Station 2 + 57 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",5.83333333333333
"Channel 13","Station 2 + 57 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Shrub",2.91666666666667
"Channel 13","Station 2 + 57 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Tree",65.5
"Channel 13","Station 2 + 57 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",1.25
"Channel 13","Station 2 + 57 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.625
"Channel 13","Station 2 + 57 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",11.25
"Channel 13","Station 2 + 57 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Shrub",13.125
"Channel 13","Station 2 + 57 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",1.375
"Channel 13","Station 2 + 57 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.75
"Channel 13","Station 2 + 57 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",10.875
"Channel 13","Station 2 + 57 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Shrub",19.375
"Channel 13","Station 2 + 57 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Tree",0.25
"Channel 13","Station 2 + 57 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.25
"Channel 13","Station 2 + 57 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.125
"Channel 13","Station 2 + 57 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",3
"Channel 13","Station 2 + 57 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",51.25
"Channel 13","Station 2 + 57 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Shrub",13.125
"Channel 13","Station 2 + 57 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Tree",0.125
"Channel 13","Station 2 + 57 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",3.75
"Channel 13","Station 2 + 57 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.5
"Channel 13","Station 2 + 57 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",25.75
"Channel 13","Station 2 + 57 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Shrub",10
"Channel 13","Station 2 + 57 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Tree",0.125
"Channel 13","Station 2 + 67 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.0833333333333333
"Channel 13","Station 2 + 67 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.166666666666667
"Channel 13","Station 2 + 67 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Perennial grass",3
"Channel 13","Station 2 + 67 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Shrub",20.1666666666667
"Channel 13","Station 2 + 67 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Tree",6.75
"Channel 13","Station 2 + 67 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.583333333333333
"Channel 13","Station 2 + 67 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",1.75
"Channel 13","Station 2 + 67 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",14
"Channel 13","Station 2 + 67 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Shrub",41.8333333333333
"Channel 13","Station 2 + 67 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Tree",13.3333333333333
"Channel 13","Station 2 + 67 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",3.83333333333333
"Channel 13","Station 2 + 67 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.583333333333333
"Channel 13","Station 2 + 67 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",5.5
"Channel 13","Station 2 + 67 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Shrub",3
"Channel 13","Station 2 + 67 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.875
"Channel 13","Station 2 + 67 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",21.25
"Channel 13","Station 2 + 67 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Shrub",41.25
"Channel 13","Station 2 + 67 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Tree",9.375
"Channel 13","Station 2 + 67 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.125
"Channel 13","Station 2 + 67 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.125
"Channel 13","Station 2 + 67 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",7.125
"Channel 13","Station 2 + 67 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Shrub",41.25
"Channel 13","Station 2 + 67 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Tree",0.75
"Channel 13","Station 2 + 67 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.625
"Channel 13","Station 2 + 67 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.75
"Channel 13","Station 2 + 67 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.875
"Channel 13","Station 2 + 67 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",40.875
"Channel 13","Station 2 + 67 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Shrub",32
"Channel 13","Station 2 + 67 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Tree",0.625
"Channel 13","Station 2 + 67 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",4.25
"Channel 13","Station 2 + 67 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",1.25
"Channel 13","Station 2 + 67 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",1.125
"Channel 13","Station 2 + 67 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",0.75
"Channel 13","Station 2 + 67 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Shrub",32.625
"Channel 13","Station 2 + 67 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Tree",73.125
"Channel 13","Station 3 + 09 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.0833333333333333
"Channel 13","Station 3 + 09 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.0833333333333333
"Channel 13","Station 3 + 09 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Perennial grass",7.66666666666667
"Channel 13","Station 3 + 09 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Shrub",42.5833333333333
"Channel 13","Station 3 + 09 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Tree",40.4166666666667
"Channel 13","Station 3 + 09 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.5
"Channel 13","Station 3 + 09 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.333333333333333
"Channel 13","Station 3 + 09 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",12.5
"Channel 13","Station 3 + 09 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Shrub",41
"Channel 13","Station 3 + 09 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Tree",41
"Channel 13","Station 3 + 09 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.666666666666667
"Channel 13","Station 3 + 09 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.583333333333333
"Channel 13","Station 3 + 09 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",4.33333333333333
"Channel 13","Station 3 + 09 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Shrub",23.4166666666667
"Channel 13","Station 3 + 09 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Tree",22.5833333333333
"Channel 13","Station 3 + 09 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",5
"Channel 13","Station 3 + 09 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",10
"Channel 13","Station 3 + 09 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Shrub",20.25
"Channel 13","Station 3 + 09 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Tree",34.5
"Channel 13","Station 3 + 09 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.125
"Channel 13","Station 3 + 09 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",10
"Channel 13","Station 3 + 09 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Shrub",33.125
"Channel 13","Station 3 + 09 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Tree",26.875
"Channel 13","Station 3 + 09 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.875
"Channel 13","Station 3 + 09 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",1.375
"Channel 13","Station 3 + 09 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",1
"Channel 13","Station 3 + 09 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",9
"Channel 13","Station 3 + 09 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Shrub",48.25
"Channel 13","Station 3 + 09 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Tree",49.375
"Channel 13","Station 3 + 09 ORD","2021-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",5.875
"Channel 13","Station 3 + 31 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Annual forb",0.916666666666667
"Channel 13","Station 3 + 31 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.166666666666667
"Channel 13","Station 3 + 31 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Perennial grass",0.666666666666667
"Channel 13","Station 3 + 31 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Shrub",32.9166666666667
"Channel 13","Station 3 + 31 BAF","2012-03-01","Baffle","Channel 13: In-channel treatment","Tree",0.0833333333333333
"Channel 13","Station 3 + 31 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",3
"Channel 13","Station 3 + 31 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",13
"Channel 13","Station 3 + 31 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Shrub",35.8333333333333
"Channel 13","Station 3 + 31 BAF","2012-11-01","Baffle","Channel 13: In-channel treatment","Tree",0.416666666666667
"Channel 13","Station 3 + 31 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",0.0833333333333333
"Channel 13","Station 3 + 31 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.583333333333333
"Channel 13","Station 3 + 31 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",1.91666666666667
"Channel 13","Station 3 + 31 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Shrub",37.9166666666667
"Channel 13","Station 3 + 31 BAF","2013-11-01","Baffle","Channel 13: In-channel treatment","Tree",42.9166666666667
"Channel 13","Station 3 + 31 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",13.125
"Channel 13","Station 3 + 31 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",1.875
"Channel 13","Station 3 + 31 BAF","2014-11-01","Baffle","Channel 13: In-channel treatment","Shrub",28.75
"Channel 13","Station 3 + 31 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.125
"Channel 13","Station 3 + 31 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",8.875
"Channel 13","Station 3 + 31 BAF","2015-11-01","Baffle","Channel 13: In-channel treatment","Shrub",32
"Channel 13","Station 3 + 31 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",4.375
"Channel 13","Station 3 + 31 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",1.375
"Channel 13","Station 3 + 31 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.25
"Channel 13","Station 3 + 31 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",31
"Channel 13","Station 3 + 31 BAF","2018-11-01","Baffle","Channel 13: In-channel treatment","Shrub",29.375
"Channel 13","Station 3 + 31 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual forb",3.75
"Channel 13","Station 3 + 31 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Annual grass",11.25
"Channel 13","Station 3 + 31 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial forb",0.5
"Channel 13","Station 3 + 31 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Perennial grass",17
"Channel 13","Station 3 + 31 BAF","2021-11-01","Baffle","Channel 13: In-channel treatment","Shrub",35
"Channel 13","Station 3 + 65 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.166666666666667
"Channel 13","Station 3 + 65 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Perennial grass",1.66666666666667
"Channel 13","Station 3 + 65 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Shrub",28
"Channel 13","Station 3 + 65 ORD","2012-03-01","One station dam","Channel 13: In-channel treatment","Tree",20.9166666666667
"Channel 13","Station 3 + 65 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",16.6666666666667
"Channel 13","Station 3 + 65 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Shrub",15.8333333333333
"Channel 13","Station 3 + 65 ORD","2012-11-01","One station dam","Channel 13: In-channel treatment","Tree",2.91666666666667
"Channel 13","Station 3 + 65 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.0833333333333333
"Channel 13","Station 3 + 65 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.166666666666667
"Channel 13","Station 3 + 65 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",8
"Channel 13","Station 3 + 65 ORD","2013-11-01","One station dam","Channel 13: In-channel treatment","Shrub",42.5
"Channel 13","Station 3 + 65 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.125
"Channel 13","Station 3 + 65 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",25
"Channel 13","Station 3 + 65 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Shrub",36.375
"Channel 13","Station 3 + 65 ORD","2014-11-01","One station dam","Channel 13: In-channel treatment","Tree",0.625
"Channel 13","Station 3 + 65 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial forb",0.125
"Channel 13","Station 3 + 65 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Perennial grass",4.625
"Channel 13","Station 3 + 65 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Shrub",39.5
"Channel 13","Station 3 + 65 ORD","2015-11-01","One station dam","Channel 13: In-channel treatment","Tree",0.125
"Channel 13","Station 3 + 65 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual forb",0.625
"Channel 13","Station 3 + 65 ORD","2018-11-01","One station dam","Channel 13: In-channel treatment","Annual grass",0.875
